ID,ActMode,EpNum,Date,Time,Act,Sleep,Down,IntCustom,Bad,Event,Light,LifeMeasure,OffWrist,PIM
unknown,ZCM,175,6/19/2024,13:31:00,281,0,0,0,0,0,68.31481,10000,0,6710.222
unknown,ZCM,176,6/19/2024,13:32:00,258,0,0,0,0,0,126.1496,10000,0,3522.278
unknown,ZCM,177,6/19/2024,13:33:00,241,0,0,0,0,0,124.7638,10000,0,3721.611
unknown,ZCM,178,6/19/2024,13:34:00,215,0,0,0,0,0,101.6327,10000,0,3081.389
unknown,ZCM,179,6/19/2024,13:35:00,222,0,0,0,0,0,103.6735,10000,0,4726.5
unknown,ZCM,180,6/19/2024,13:36:00,222,0,0,0,0,0,123.2047,10000,0,7080.111
unknown,ZCM,181,6/19/2024,13:37:00,206,0,0,0,0,0,14.58333,10000,0,6694.944
unknown,ZCM,182,6/19/2024,13:38:00,176,0,0,0,0,0,16.58333,10000,0,2231.556
unknown,ZCM,183,6/19/2024,13:39:00,254,0,0,0,0,0,11.66667,10000,0,5892.667
unknown,ZCM,184,6/19/2024,13:40:00,221,0,0,0,0,0,10.31707,10000,0,487.4445
unknown,ZCM,185,6/19/2024,13:41:00,222,0,0,0,0,0,8.756098,10000,0,2868.778
unknown,ZCM,186,6/19/2024,13:42:00,243,0,0,0,0,0,25.55172,10000,0,4638.167
unknown,ZCM,187,6/19/2024,13:43:00,268,0,0,0,0,0,14.5,10000,0,2645.278
unknown,ZCM,188,6/19/2024,13:44:00,214,0,0,0,0,0,12.58333,10000,0,4650.056
unknown,ZCM,189,6/19/2024,13:45:00,241,0,0,0,0,0,11.5,10000,0,4690.778
unknown,ZCM,190,6/19/2024,13:46:00,227,0,0,0,0,0,44.11864,10000,0,5046.056
unknown,ZCM,191,6/19/2024,13:47:00,207,0,0,0,0,0,56.32692,10000,0,2315.056
unknown,ZCM,192,6/19/2024,13:48:00,210,0,0,0,0,0,15.5,10000,0,1792.611
unknown,ZCM,193,6/19/2024,13:49:00,180,0,0,0,0,0,16.5,10000,0,352.5
unknown,ZCM,194,6/19/2024,13:50:00,234,0,0,0,0,0,10.60976,10000,0,2619.167
unknown,ZCM,195,6/19/2024,13:51:00,202,0,0,0,0,0,2.745455,10000,0,493.0555
unknown,ZCM,196,6/19/2024,13:52:00,224,0,0,0,0,0,8.268292,10000,0,6453.444
unknown,ZCM,197,6/19/2024,13:53:00,295,0,0,0,0,0,27.92241,10000,0,7930.5
unknown,ZCM,198,6/19/2024,13:54:00,285,0,0,0,0,0,118.6607,10000,0,3354.778
unknown,ZCM,199,6/19/2024,13:55:00,288,0,0,0,0,0,36.17391,10000,0,3241.278
unknown,ZCM,200,6/19/2024,13:56:00,218,0,0,0,0,0,36.6087,10000,0,2779.722
unknown,ZCM,201,6/19/2024,13:57:00,164,0,0,0,0,0,132.036,10000,0,793.2222
unknown,ZCM,202,6/19/2024,13:58:00,196,0,0,0,0,0,119.5536,10000,0,883.7222
unknown,ZCM,203,6/19/2024,13:59:00,265,0,0,0,0,0,62.2037,10000,0,11662
unknown,ZCM,204,6/19/2024,14:00:00,313,0,0,0,0,0,8.268292,10000,0,8267.777
unknown,ZCM,205,6/19/2024,14:01:00,306,0,0,0,0,0,15.25,10000,0,9062.223
unknown,ZCM,206,6/19/2024,14:02:00,247,0,0,0,0,0,17.66667,10000,0,1393.333
unknown,ZCM,207,6/19/2024,14:03:00,301,0,0,0,0,0,7.682927,10000,0,4166.611
unknown,ZCM,208,6/19/2024,14:04:00,293,0,0,0,0,0,6.609756,10000,0,8362.056
unknown,ZCM,209,6/19/2024,14:05:00,317,0,0,0,0,0,59.09615,10000,0,20297.67
unknown,ZCM,210,6/19/2024,14:06:00,267,0,0,0,0,0,15.83333,10000,0,11085.83
unknown,ZCM,211,6/19/2024,14:07:00,271,0,0,0,0,0,36.43478,10000,0,7093.5
unknown,ZCM,212,6/19/2024,14:08:00,164,0,0,0,0,0,36.17391,10000,0,490.4445
unknown,ZCM,213,6/19/2024,14:09:00,279,0,0,0,0,0,128.2283,10000,0,7892.778
unknown,ZCM,214,6/19/2024,14:10:00,258,0,0,0,0,0,232.4635,10000,0,5376.5
unknown,ZCM,215,6/19/2024,14:11:00,208,0,0,0,0,0,208.1238,10000,0,2777.111
unknown,ZCM,216,6/19/2024,14:12:00,122,0,0,0,0,0,123.811,10000,0,903.7222
unknown,ZCM,217,6/19/2024,14:13:00,293,0,0,0,0,0,77.0177,10000,0,13398.61
unknown,ZCM,218,6/19/2024,14:14:00,258,0,0,0,0,0,161.6868,10000,0,11499.72
unknown,ZCM,219,6/19/2024,14:15:00,284,0,0,0,0,0,146.8581,10000,0,8922.333
unknown,ZCM,220,6/19/2024,14:16:00,243,0,0,0,0,0,166.7143,10000,0,7812.944
unknown,ZCM,221,6/19/2024,14:17:00,258,0,0,0,0,0,217.8857,10000,0,5583.722
unknown,ZCM,222,6/19/2024,14:18:00,266,0,0,0,0,0,139.2878,10000,0,1994.222
unknown,ZCM,223,6/19/2024,14:19:00,172,0,0,0,0,0,80.11504,10000,0,4903.556
unknown,ZCM,224,6/19/2024,14:20:00,232,0,0,0,0,0,170.4231,10000,0,3295.278
unknown,ZCM,225,6/19/2024,14:21:00,212,0,0,0,0,0,37.47826,10000,0,1690.889
unknown,ZCM,226,6/19/2024,14:22:00,192,0,0,0,0,0,16.16667,10000,0,3353.222
unknown,ZCM,227,6/19/2024,14:23:00,278,0,0,0,0,0,128.748,10000,0,6805.222
unknown,ZCM,228,6/19/2024,14:24:00,268,0,0,0,0,0,112.3214,10000,0,9802.167
unknown,ZCM,229,6/19/2024,14:25:00,214,0,0,0,0,0,115.9821,10000,0,3180.056
unknown,ZCM,230,6/19/2024,14:26:00,223,0,0,0,0,0,127.622,10000,0,5196.444
unknown,ZCM,231,6/19/2024,14:27:00,263,0,0,0,0,0,126.4961,10000,0,7255.444
unknown,ZCM,232,6/19/2024,14:28:00,236,0,0,0,0,0,190.6498,10000,0,4908.222
unknown,ZCM,233,6/19/2024,14:29:00,224,0,0,0,0,0,151.8065,10000,0,5151.333
unknown,ZCM,234,6/19/2024,14:30:00,262,0,0,0,0,0,214.8921,10000,0,4264.5
unknown,ZCM,235,6/19/2024,14:31:00,274,0,0,0,0,0,204.8341,10000,0,4704.778
unknown,ZCM,236,6/19/2024,14:32:00,255,0,0,0,0,0,121.8189,10000,0,5125.833
unknown,ZCM,237,6/19/2024,14:33:00,278,0,0,0,0,0,178.1602,10000,0,9601.389
unknown,ZCM,238,6/19/2024,14:34:00,296,0,0,0,0,0,215.1524,10000,0,8858.444
unknown,ZCM,239,6/19/2024,14:35:00,269,0,0,0,0,0,196.0415,10000,0,8974.667
unknown,ZCM,240,6/19/2024,14:36:00,287,0,0,0,0,0,182.1381,10000,0,11734.5
unknown,ZCM,241,6/19/2024,14:37:00,308,0,0,0,0,0,282.9091,10000,0,7982.889
